Ticker,name,sector,opening,closing,high,low
J,Jacobs Engineering Group,Industrials,"[['2021-08-02', 135.92]]","[['2021-08-02', 133.9]]","[['2021-08-02', 138.53]]","[['2021-08-02', 133.87]]"
JBHT,J. B. Hunt Transport Services,Industrials,"[['2021-08-02', 168.63]]","[['2021-08-02', 167.47]]","[['2021-08-02', 170.21]]","[['2021-08-02', 167.34]]"
SJM,JM Smucker,Consumer Staples,"[['2021-08-02', 131.12]]","[['2021-08-02', 131.29]]","[['2021-08-02', 131.6]]","[['2021-08-02', 130.125]]"
JNJ,Johnson & Johnson,Health Care,"[['2021-08-02', 172.47]]","[['2021-08-02', 172.27]]","[['2021-08-02', 172.84]]","[['2021-08-02', 171.3]]"
JCI,Johnson Controls International,Industrials,"[['2021-08-02', 71.7]]","[['2021-08-02', 70.7]]","[['2021-08-02', 72.36]]","[['2021-08-02', 70.66]]"
JPM,JPMorgan Chase & Co.,Financials,"[['2021-08-02', 152.03]]","[['2021-08-02', 151.17]]","[['2021-08-02', 154.45]]","[['2021-08-02', 151.07]]"
JNPR,Juniper Networks,Information Technology,"[['2021-08-02', 28.18]]","[['2021-08-02', 28.01]]","[['2021-08-02', 28.48]]","[['2021-08-02', 27.97]]"
KSU,Kansas City Southern,Industrials,"[['2021-08-02', 269.21]]","[['2021-08-02', 265.6]]","[['2021-08-02', 270.4]]","[['2021-08-02', 265.6]]"
K,Kellogg Co.,Consumer Staples,"[['2021-08-02', 63.41]]","[['2021-08-02', 63.42]]","[['2021-08-02', 63.75]]","[['2021-08-02', 63.235]]"
KEY,KeyCorp,Financials,"[['2021-08-02', 19.75]]","[['2021-08-02', 19.54]]","[['2021-08-02', 20.305]]","[['2021-08-02', 19.53]]"
KEYS,Keysight Technologies,Information Technology,"[['2021-08-02', 165.0]]","[['2021-08-02', 164.91]]","[['2021-08-02', 165.48]]","[['2021-08-02', 163.8]]"
KMB,Kimberly-Clark,Consumer Staples,"[['2021-08-02', 135.69]]","[['2021-08-02', 134.67]]","[['2021-08-02', 135.87]]","[['2021-08-02', 134.45]]"
KIM,Kimco Realty,Real Estate,"[['2021-08-02', 21.53]]","[['2021-08-02', 21.29]]","[['2021-08-02', 21.98]]","[['2021-08-02', 21.27]]"
KMI,Kinder Morgan,Energy,"[['2021-08-02', 17.45]]","[['2021-08-02', 17.32]]","[['2021-08-02', 17.72]]","[['2021-08-02', 17.255]]"
KLAC,KLA Corporation,Information Technology,"[['2021-08-02', 348.16]]","[['2021-08-02', 345.91]]","[['2021-08-02', 356.7]]","[['2021-08-02', 344.79]]"
KHC,Kraft Heinz Co,Consumer Staples,"[['2021-08-02', 38.595]]","[['2021-08-02', 38.58]]","[['2021-08-02', 38.78]]","[['2021-08-02', 38.38]]"
KR,Kroger Co.,Consumer Staples,"[['2021-08-02', 40.75]]","[['2021-08-02', 41.01]]","[['2021-08-02', 41.135]]","[['2021-08-02', 40.23]]"
LB,L Brands Inc.,Consumer Discretionary,"[['2021-08-02', 80.65]]","[['2021-08-02', 79.92]]","[['2021-08-02', 82.0]]","[['2021-08-02', 79.2437]]"
LHX,L3Harris Technologies,Industrials,"[['2021-08-02', 228.0]]","[['2021-08-02', 225.95]]","[['2021-08-02', 229.26]]","[['2021-08-02', 225.84]]"
LH,Laboratory Corp. of America Holding,Health Care,"[['2021-08-02', 296.83]]","[['2021-08-02', 297.61]]","[['2021-08-02', 299.67]]","[['2021-08-02', 294.66]]"
LRCX,Lam Research,Information Technology,"[['2021-08-02', 646.2]]","[['2021-08-02', 641.8]]","[['2021-08-02', 659.489]]","[['2021-08-02', 641.0]]"
LW,Lamb Weston Holdings Inc,Consumer Staples,"[['2021-08-02', 67.45]]","[['2021-08-02', 67.35]]","[['2021-08-02', 68.0375]]","[['2021-08-02', 66.72]]"
LVS,Las Vegas Sands,Consumer Discretionary,"[['2021-08-02', 42.89]]","[['2021-08-02', 41.51]]","[['2021-08-02', 43.16]]","[['2021-08-02', 41.45]]"
LEG,Leggett & Platt,Consumer Discretionary,"[['2021-08-02', 48.45]]","[['2021-08-02', 48.05]]","[['2021-08-02', 49.64]]","[['2021-08-02', 48.03]]"
LDOS,Leidos Holdings,Industrials,"[['2021-08-02', 106.88]]","[['2021-08-02', 107.11]]","[['2021-08-02', 108.83]]","[['2021-08-02', 106.7]]"
LEN,Lennar Corp.,Consumer Discretionary,"[['2021-08-02', 106.29]]","[['2021-08-02', 105.85]]","[['2021-08-02', 107.225]]","[['2021-08-02', 104.92]]"
LLY,Lilly (Eli) & Co.,Health Care,"[['2021-08-02', 245.73]]","[['2021-08-02', 246.6]]","[['2021-08-02', 247.885]]","[['2021-08-02', 244.25]]"
LNC,Lincoln National,Financials,"[['2021-08-02', 62.33]]","[['2021-08-02', 60.79]]","[['2021-08-02', 63.93]]","[['2021-08-02', 59.67]]"
LIN,Linde plc,Materials,"[['2021-08-02', 308.73]]","[['2021-08-02', 300.22]]","[['2021-08-02', 310.19]]","[['2021-08-02', 300.12]]"
LYV,Live Nation Entertainment,Communication Services,"[['2021-08-02', 79.25]]","[['2021-08-02', 79.12]]","[['2021-08-02', 81.03]]","[['2021-08-02', 78.9]]"
LKQ,LKQ Corporation,Consumer Discretionary,"[['2021-08-02', 51.83]]","[['2021-08-02', 51.01]]","[['2021-08-02', 52.6]]","[['2021-08-02', 50.74]]"
LMT,Lockheed Martin Corp.,Industrials,"[['2021-08-02', 372.3]]","[['2021-08-02', 368.3]]","[['2021-08-02', 375.04]]","[['2021-08-02', 368.08]]"
L,Loews Corp.,Financials,"[['2021-08-02', 53.69]]","[['2021-08-02', 53.65]]","[['2021-08-02', 54.6]]","[['2021-08-02', 53.42]]"
LOW,Lowe's Cos.,Consumer Discretionary,"[['2021-08-02', 193.81]]","[['2021-08-02', 190.96]]","[['2021-08-02', 194.22]]","[['2021-08-02', 190.85]]"
LUMN,Lumen Technologies,Communication Services,"[['2021-08-02', 12.52]]","[['2021-08-02', 12.54]]","[['2021-08-02', 12.635]]","[['2021-08-02', 12.41]]"
LYB,LyondellBasell,Materials,"[['2021-08-02', 99.98]]","[['2021-08-02', 98.9]]","[['2021-08-02', 103.31]]","[['2021-08-02', 98.84]]"
MTB,M&T Bank,Financials,"[['2021-08-02', 134.47]]","[['2021-08-02', 133.36]]","[['2021-08-02', 137.75]]","[['2021-08-02', 133.29]]"
MRO,Marathon Oil Corp.,Energy,"[['2021-08-02', 11.61]]","[['2021-08-02', 11.3]]","[['2021-08-02', 11.915]]","[['2021-08-02', 11.2842]]"
MPC,Marathon Petroleum,Energy,"[['2021-08-02', 55.29]]","[['2021-08-02', 54.46]]","[['2021-08-02', 56.41]]","[['2021-08-02', 54.235]]"
MKTX,MarketAxess,Financials,"[['2021-08-02', 478.51]]","[['2021-08-02', 480.0]]","[['2021-08-02', 488.57]]","[['2021-08-02', 475.47]]"
MAR,Marriott International,Consumer Discretionary,"[['2021-08-02', 147.06]]","[['2021-08-02', 144.87]]","[['2021-08-02', 148.67]]","[['2021-08-02', 144.15]]"
MMC,Marsh & McLennan,Financials,"[['2021-08-02', 148.07]]","[['2021-08-02', 147.99]]","[['2021-08-02', 149.13]]","[['2021-08-02', 147.91]]"
MLM,Martin Marietta Materials,Materials,"[['2021-08-02', 363.71]]","[['2021-08-02', 362.83]]","[['2021-08-02', 372.62]]","[['2021-08-02', 361.75]]"
MAS,Masco Corp.,Industrials,"[['2021-08-02', 59.8]]","[['2021-08-02', 59.34]]","[['2021-08-02', 60.34]]","[['2021-08-02', 59.3]]"
MA,Mastercard Inc.,Information Technology,"[['2021-08-02', 389.3]]","[['2021-08-02', 375.26]]","[['2021-08-02', 389.98]]","[['2021-08-02', 373.8]]"
